page,project,url,wikilink
أثر جائحة فيروس كورونا على الدين 2019-20,ar.wikipedia,https://ar.wikipedia.org/wiki/%D8%A3%D8%AB%D8%B1_%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D8%B9%D9%84%D9%89_%D8%A7%D9%84%D8%AF%D9%8A%D9%86_2019-20,[[ar:أثر جائحة فيروس كورونا على الدين 2019-20
Impact of the COVID-19 pandemic on religion,en.wikipedia,https://en.wikipedia.org/wiki/Impact_of_the_COVID-19_pandemic_on_religion,[[en:Impact of the COVID-19 pandemic on religion
Impacto en la religión de la pandemia de enfermedad por coronavirus de 2019-2020,es.wikipedia,https://es.wikipedia.org/wiki/Impacto_en_la_religi%C3%B3n_de_la_pandemia_de_enfermedad_por_coronavirus_de_2019-2020,[[es:Impacto en la religión de la pandemia de enfermedad por coronavirus de 2019-2020
Dampak pandemi koronavirus terhadap kegiatan keagamaan,id.wikipedia,https://id.wikipedia.org/wiki/Dampak_pandemi_koronavirus_terhadap_kegiatan_keagamaan,[[id:Dampak pandemi koronavirus terhadap kegiatan keagamaan
코로나바이러스감염증-19 범유행이 종교에 준 영향,ko.wikipedia,https://ko.wikipedia.org/wiki/%EC%BD%94%EB%A1%9C%EB%82%98%EB%B0%94%EC%9D%B4%EB%9F%AC%EC%8A%A4%EA%B0%90%EC%97%BC%EC%A6%9D-19_%EB%B2%94%EC%9C%A0%ED%96%89%EC%9D%B4_%EC%A2%85%EA%B5%90%EC%97%90_%EC%A4%80_%EC%98%81%ED%96%A5,[[ko:코로나바이러스감염증-19 범유행이 종교에 준 영향
Impactos causados pela pandemia de COVID-19 na religião,pt.wikipedia,https://pt.wikipedia.org/wiki/Impactos_causados_pela_pandemia_de_COVID-19_na_religi%C3%A3o,[[pt:Impactos causados pela pandemia de COVID-19 na religião
2019冠狀病毒病疫情對宗教的影響,zh.wikipedia,https://zh.wikipedia.org/wiki/2019%E5%86%A0%E7%8B%80%E7%97%85%E6%AF%92%E7%97%85%E7%96%AB%E6%83%85%E5%B0%8D%E5%AE%97%E6%95%99%E7%9A%84%E5%BD%B1%E9%9F%BF,[[zh:2019冠狀病毒病疫情對宗教的影響
جائحة فيروس كورونا في أوروغواي 2020,ar.wikipedia,https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%A3%D9%88%D8%B1%D9%88%D8%BA%D9%88%D8%A7%D9%8A_2020,[[ar:جائحة فيروس كورونا في أوروغواي 2020
COVID-19-Pandemie in Uruguay,de.wikipedia,https://de.wikipedia.org/wiki/COVID-19-Pandemie_in_Uruguay,[[de:COVID-19-Pandemie in Uruguay
COVID-19 pandemic in Uruguay,en.wikipedia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Uruguay,[[en:COVID-19 pandemic in Uruguay
Pandemia de enfermedad por coronavirus de 2020 en Uruguay,es.wikipedia,https://es.wikipedia.org/wiki/Pandemia_de_enfermedad_por_coronavirus_de_2020_en_Uruguay,[[es:Pandemia de enfermedad por coronavirus de 2020 en Uruguay
התפרצות נגיף הקורונה באורוגוואי,he.wikipedia,https://he.wikipedia.org/wiki/%D7%94%D7%AA%D7%A4%D7%A8%D7%A6%D7%95%D7%AA_%D7%A0%D7%92%D7%99%D7%A3_%D7%94%D7%A7%D7%95%D7%A8%D7%95%D7%A0%D7%94_%D7%91%D7%90%D7%95%D7%A8%D7%95%D7%92%D7%95%D7%95%D7%90%D7%99,[[he:התפרצות נגיף הקורונה באורוגוואי
Pandemi koronavirus di Uruguay,id.wikipedia,https://id.wikipedia.org/wiki/Pandemi_koronavirus_di_Uruguay,[[id:Pandemi koronavirus di Uruguay
우루과이의 코로나바이러스감염증-19 범유행,ko.wikipedia,https://ko.wikipedia.org/wiki/%EC%9A%B0%EB%A3%A8%EA%B3%BC%EC%9D%B4%EC%9D%98_%EC%BD%94%EB%A1%9C%EB%82%98%EB%B0%94%EC%9D%B4%EB%9F%AC%EC%8A%A4%EA%B0%90%EC%97%BC%EC%A6%9D-19_%EB%B2%94%EC%9C%A0%ED%96%89,[[ko:우루과이의 코로나바이러스감염증-19 범유행
Pandemia de COVID-19 no Uruguai,pt.wikipedia,https://pt.wikipedia.org/wiki/Pandemia_de_COVID-19_no_Uruguai,[[pt:Pandemia de COVID-19 no Uruguai
Распространение COVID-19 в Уругвае,ru.wikipedia,https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D1%81%D0%BF%D1%80%D0%BE%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B5%D0%BD%D0%B8%D0%B5_COVID-19_%D0%B2_%D0%A3%D1%80%D1%83%D0%B3%D0%B2%D0%B0%D0%B5,[[ru:Распространение COVID-19 в Уругвае
Urugvayda COVID-19 pandemiyasi,uz.wikipedia,https://uz.wikipedia.org/wiki/Urugvayda_COVID-19_pandemiyasi,[[uz:Urugvayda COVID-19 pandemiyasi
Đại dịch COVID-19 tại Uruguay,vi.wikipedia,https://vi.wikipedia.org/wiki/%C4%90%E1%BA%A1i_d%E1%BB%8Bch_COVID-19_t%E1%BA%A1i_Uruguay,[[vi:Đại dịch COVID-19 tại Uruguay
Fenómeno del papel higiénico de 2020,es.wikipedia,https://es.wikipedia.org/wiki/Fen%C3%B3meno_del_papel_higi%C3%A9nico_de_2020,[[es:Fenómeno del papel higiénico de 2020
2019冠狀病毒病疫情期間殉職醫護人員列表,zh.wikipedia,https://zh.wikipedia.org/wiki/2019%E5%86%A0%E7%8B%80%E7%97%85%E6%AF%92%E7%97%85%E7%96%AB%E6%83%85%E6%9C%9F%E9%96%93%E6%AE%89%E8%81%B7%E9%86%AB%E8%AD%B7%E4%BA%BA%E5%93%A1%E5%88%97%E8%A1%A8,[[zh:2019冠狀病毒病疫情期間殉職醫護人員列表
COVID-19-Pandemie in Samoa,de.wikipedia,https://de.wikipedia.org/wiki/COVID-19-Pandemie_in_Samoa,[[de:COVID-19-Pandemie in Samoa
2020 coronavirus pandemic in Samoa,en.wikipedia,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Samoa,[[en:2020 coronavirus pandemic in Samoa
جائحة فيروس كورونا في أندورا 2020,ar.wikipedia,https://ar.wikipedia.org/wiki/%D8%AC%D8%A7%D8%A6%D8%AD%D8%A9_%D9%81%D9%8A%D8%B1%D9%88%D8%B3_%D9%83%D9%88%D8%B1%D9%88%D9%86%D8%A7_%D9%81%D9%8A_%D8%A3%D9%86%D8%AF%D9%88%D8%B1%D8%A7_2020,[[ar:جائحة فيروس كورونا في أندورا 2020
Andorrada koronavirus pandemiyası 2020,az.wikipedia,https://az.wikipedia.org/wiki/Andorrada_koronavirus_pandemiyas%C4%B1_2020,[[az:Andorrada koronavirus pandemiyası 2020
Pandèmia per coronavirus de 2020 a Andorra,ca.wikipedia,https://ca.wikipedia.org/wiki/Pand%C3%A8mia_per_coronavirus_de_2020_a_Andorra,[[ca:Pandèmia per coronavirus de 2020 a Andorra
COVID-19-Pandemie in Andorra,de.wikipedia,https://de.wikipedia.org/wiki/COVID-19-Pandemie_in_Andorra,[[de:COVID-19-Pandemie in Andorra
COVID-19 pandemic in Andorra,en.wikipedia,https://en.wikipedia.org/wiki/COVID-19_pandemic_in_Andorra,[[en:COVID-19 pandemic in Andorra
Pandemia de enfermedad por coronavirus de 2020 en Andorra,es.wikipedia,https://es.wikipedia.org/wiki/Pandemia_de_enfermedad_por_coronavirus_de_2020_en_Andorra,[[es:Pandemia de enfermedad por coronavirus de 2020 en Andorra
Koronaviruspandemia Andorrassa,fi.wikipedia,https://fi.wikipedia.org/wiki/Koronaviruspandemia_Andorrassa,[[fi:Koronaviruspandemia Andorrassa
Pandémie de Covid-19 en Andorre,fr.wikipedia,https://fr.wikipedia.org/wiki/Pand%C3%A9mie_de_Covid-19_en_Andorre,[[fr:Pandémie de Covid-19 en Andorre
התפרצות נגיף הקורונה באנדורה,he.wikipedia,https://he.wikipedia.org/wiki/%D7%94%D7%AA%D7%A4%D7%A8%D7%A6%D7%95%D7%AA_%D7%A0%D7%92%D7%99%D7%A3_%D7%94%D7%A7%D7%95%D7%A8%D7%95%D7%A0%D7%94_%D7%91%D7%90%D7%A0%D7%93%D7%95%D7%A8%D7%94,[[he:התפרצות נגיף הקורונה באנדורה
Pandemi koronavirus di Andorra,id.wikipedia,https://id.wikipedia.org/wiki/Pandemi_koronavirus_di_Andorra,[[id:Pandemi koronavirus di Andorra
Pandemia di COVID-19 del 2020 ad Andorra,it.wikipedia,https://it.wikipedia.org/wiki/Pandemia_di_COVID-19_del_2020_ad_Andorra,[[it:Pandemia di COVID-19 del 2020 ad Andorra
